"Ürün Adı","Ürün Kodu","Fiyat","CAS Numarası","Marka"
"Potassium iodide for analysis EMSURE® ACS,Reag. Ph Eur","M105043.0250","107.82","",MERCK
"Potassium nitrate for analysis EMSURE® ACS,Reag. Ph Eur","M105065.0500","37.26","",MERCK
"Potassium sodium tartrate tetrahydrate for analysis EMSURE® ACS,Reag. Ph Eur","M108087.0500","49.25","",MERCK
"Potassium permanganate for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M105082.0250","38.62","",MERCK
"Potassium peroxodisulfate for analysis EMSURE® ACS,Reag. Ph Eur","M105092.0500","42.5","",MERCK
"Potassium sulfate granulated for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M105153.0500","29.07","",MERCK
"Potassium thiocyanate for analysis EMSURE® ACS,Reag. Ph Eur","M105124.0250","44.91","",MERCK
"Propionic acid for synthesis","M800614.1000","68.61","",MERCK
"Pyridine anhydrous for analysis EMSURE® ACS","M107462.1000","81.39","",MERCK
"Salicylic acid for analysis EMSURE® Reag. Ph Eur","M100631.0250","38.83","",MERCK
"Sea sand purified, acid washed","M107719.1000","31.02","",MERCK
"Silica gel 60 with fluorescence indicator F254 for column chromatography","M115111.1000","101.99","",MERCK
"Silica gel 60 (0.040-0.063 mm) for column chromatography","M109385.1000","81.39","",MERCK
"Silica gel 60 (0.063-0.200 mm) for column chromatography","M107734.1000","71.9","",MERCK
"Silica gel with moisture indicator (orange gel)","M101970.0500","74.5","",MERCK
"Silica gel TLC plates 20x20 cm","M105721.0001","95.63","",MERCK
"Silica gel TLC plates with fluorescent indicator 20x20 cm","M105554.0001","91.9","",MERCK
"Silica gel HPTLC plates with fluorescent indicator 10x10 cm","M105626.0001","169.17","",MERCK
"Silver nitrate for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M101512.0025","107.82","",MERCK
"Silver nitrate solution 0.1 mol/l Titripur®","M109081.1000","49.25","",MERCK
"Silver sulfate for analysis EMSURE® ACS","M101509.0025","129.54","",MERCK
"Soda lime granulated, with indicator","M106670.0500","59.23","",MERCK
"Sodium acetate anhydrous for analysis EMSURE® ACS,Reag. Ph Eur","M106268.0250","31.78","",MERCK
"Sodium acetate trihydrate for analysis EMSURE® ACS,Reag. Ph Eur","M106267.0500","24.18","",MERCK
"Sodium arsenite solution 0.05 mol/l (0.1 N) Titripur®","M109115.1000","38.62","",MERCK
"Sodium carbonate anhydrous for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M106392.0500","21.19","",MERCK
"Sodium chloride for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M106404.0500","18.78","",MERCK
"Sodium chloride for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M106404.1000","21.84","",MERCK
"Sodium citrate tribasic dihydrate for analysis EMSURE® ACS,Reag. Ph Eur","M106448.0500","31.02","",MERCK
"Sodium dichromate dihydrate for analysis","M106330.0500","43.51","",MERCK
"Sodium dithionite for analysis","M106509.0250","42.5","",MERCK
"Sodium dodecyl sulfate for analysis","M106611.0100","54.34","",MERCK
"Sodium fluoride for analysis EMSURE® ACS,Reag. Ph Eur","M106449.0250","42.35","",MERCK
"Sodium formate for analysis","M106444.0500","42.35","",MERCK
"Sodium hexametaphosphate for analysis","M106529.1000","81.39","",MERCK
"Sodium hydrogen carbonate for analysis EMSURE® ACS,Reag. Ph Eur","M106329.0500","20.53","",MERCK
"Sodium hydrogen sulfate monohydrate for analysis","M106346.0500","28.46","",MERCK
"di-Sodium hydrogen citrate 1.5-hydrate for analysis","M106445.0500","56.46","",MERCK
"Sodium hydroxide pellets for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M106498.0500","24.18","",MERCK
"Sodium hydroxide pellets for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M106498.1000","34.56","",MERCK
"Sodium hydroxide solution 1 mol/l Titripur®","M109137.1000","10.33","",MERCK
"Sodium hydroxide solution 0.1 mol/l Titripur®","M109141.1000","10.33","",MERCK
"Sodium hypochlorite solution 6-14% active chlorine","M105614.1000","18.78","",MERCK
"Sodium molybdate dihydrate for analysis EMSURE® ACS,Reag. Ph Eur","M106521.0100","77.53","",MERCK
"Sodium nitrite for analysis EMSURE® ACS,Reag. Ph Eur","M106549.0250","28.46","",MERCK
"Sodium nitroprusside dihydrate for analysis EMSURE® ACS,Reag. Ph Eur","M106541.0100","53.53","",MERCK
"Sodium oxalate for analysis EMSURE® ACS,Reag. Ph Eur","M106557.0100","42.35","",MERCK
"Sodium periodate for analysis","M106596.0025","101.99","",MERCK
"Sodium peroxodisulfate for analysis","M106562.0250","38.62","",MERCK
"Sodium pyrophosphate decahydrate for analysis","M106592.0500","44.08","",MERCK
"Sodium salicylate for analysis","M106601.0250","59.23","",MERCK
"Sodium sulfate anhydrous for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M106649.0500","21.84","",MERCK
"Sodium sulfide nonahydrate for analysis","M106639.0500","48.31","",MERCK
"Sodium sulfite anhydrous for analysis EMSURE® Reag. Ph Eur","M106657.0500","28.46","",MERCK
"Sodium tartrate dihydrate for analysis","M106663.0250","40.86","",MERCK
"Sodium thiocyanate for analysis","M106626.0250","56.46","",MERCK
"Sodium thiosulfate pentahydrate for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M106516.0500","28.46","",MERCK
"Sodium thiosulfate solution 0.1 mol/l Titripur®","M109147.1000","11.16","",MERCK
"Starch soluble for analysis EMSURE® ACS,Reag. Ph Eur","M101252.0250","46.94","",MERCK
"Stearic acid for synthesis","M800672.0500","40.86","",MERCK
"Sucrose for analysis EMSURE® ACS,Reag. Ph Eur","M107654.0500","28.46","",MERCK
"Sulfamic acid for analysis","M100103.0250","42.5","",MERCK
"Sulfanilic acid for analysis","M100684.0100","42.35","",MERCK
"Sulfuric acid 95-97% for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M100731.1000","15.63","",MERCK
"Sulfuric acid 95-97% for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M100731.2500","23.36","",MERCK
"Sulfuric acid 0.5 mol/l (1 N) Titripur®","M109074.1000","11.16","",MERCK
"Sulfuric acid 0.05 mol/l (0.1 N) Titripur®","M109072.1000","10.33","",MERCK
"Talc for analysis","M108112.1000","37.26","",MERCK
"L(+)-Tartaric acid for analysis EMSURE® ACS,Reag. Ph Eur","M100804.0250","53.53","",MERCK
"Tetrabutylammonium hydroxide solution 0.1 mol/l in 2-propanol/methanol Titripur®","M109162.0500","95.63","",MERCK
"Tetrahydrofuran for analysis EMSURE® ACS,Reag. Ph Eur","M108110.1000","56.46","",MERCK
"Tetrahydrofuran for analysis EMSURE® ACS,Reag. Ph Eur","M108110.2500","101.99","",MERCK
"N,N,N',N'-Tetramethyl-p-phenylenediamine dihydrochloride for analysis","M108249.0005","83.91","",MERCK
"Thioacetamide for analysis","M108170.0100","46.94","",MERCK
"Thymol blue indicator ACS","M108176.0005","53.53","",MERCK
"Thymolphthalein indicator","M108177.0005","42.35","",MERCK
"Tin(II) chloride dihydrate for analysis EMSURE® ACS,Reag. Ph Eur","M107815.0250","81.39","",MERCK
"TLC spreader","M102143.0001","2034.25","",MERCK
"Toluene for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M108325.1000","21.19","",MERCK
"Toluene for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M108325.2500","34.56","",MERCK
"Trichloroacetic acid for analysis EMSURE® ACS,Reag. Ph Eur","M100807.0250","53.53","",MERCK
"Trichloroethylene stabilized with about 0.01% thymol for analysis","M100817.1000","51.34","",MERCK
"Triethanolamine for synthesis","M822341.1000","38.62","",MERCK
"Trifluoroacetic acid for synthesis UN2699 8  I","M808260.0101","76.25","",MERCK
"Tris(Hydroxymethyl)Aminomethane Gr For Analysis Buffer Substance Acs,Reag. Ph Eur","M108382.0500","143.58","",MERCK
"Tris(Hydroxymethyl)Aminomethane Tris Lab","M108387.0500","83.89","",MERCK
"Triton® X-100 Gr For Analysis","M108603.1000","131.57","",MERCK
"Tween® 80 For Synthesis","M822187.2500","91.62","",MERCK
"Tween® 80 For Synthesis","M822187.0500","61.91","",MERCK
"Urea Gr For Analysis Acs,Reag. Ph Eur","M108487.1000","105.73","",MERCK
"Water for chromatography (LC-MS Grade) LiChrosolv®.","M115333.2500","16.97","",MERCK
"Water Standard  1% Standard For Volumetric Karl Fischer Titration 1 G «» 10","M188052.0010","34.56","",MERCK
"Water Standard  1 Mg H₂O/G For Volumetric Karl Fischer Titration","M188053.0010","34.56","",MERCK
"Water Standard 0.1% Standard For Volumetric Karl Fischer Titration 1 G «» 1","M188051.0010","34.56","",MERCK
"Xylene (mixture of isomers) for analysis EMSURE® ACS,Reag. Ph Eur","M108681.1000","21.19","",MERCK
"Xylene (mixture of isomers) for analysis EMSURE® ACS,Reag. Ph Eur","M108681.2500","37.26","",MERCK
"Zinc turnings for analysis","M108789.0250","46.94","",MERCK
"Zinc chloride for analysis EMSURE® ACS,Reag. Ph Eur","M108816.0500","53.53","",MERCK
"Zinc sulfate heptahydrate for analysis EMSURE® ACS,Reag. Ph Eur","M108883.0500","31.02","",MERCK
"ACETAMIDE BROTH","40101012","152,75","","Sinanson Biolife"
"m-AEROMONAS SELECTIVE AGAR BASE (HAVELAAR)","4010192","96,39","","Sinanson Biolife"
"Aeromonas Selective Supplement","4240012","58,14","","Sinanson Biolife"
"AESCULIN BILE AZIDE AGAR","4010142","173,40","","Sinanson Biolife"
"AESCULIN BILE AZIDE AGAR ISO FORMULATION","4010182","170,85","","Sinanson Biolife"
"AESCULIN BILE AZIDE BROTH","40101412","186,15","","Sinanson Biolife"
"AGAR LISTERIA ACC. TO OTTAVIANI & AGOSTI (ALOA)","4016052","166,52","","Sinanson Biolife"
"AGAR LISTERIA ACC. TO OTTAVIANI & AGOSTI (ALOA)","4016054","1.364,25","","Sinanson Biolife"
"ALOA Enrichment-Selective Supplements","423501","85,43","","Sinanson Biolife"
"ALKALINE PEPTONE WATER","4010322","67,58","","Sinanson Biolife"
"AMIES TRASPORT MEDIUM","4010342","131,07","","Sinanson Biolife"
"ANDRADE LACTOSE PEPTONE WATER","4010482","55,08","","Sinanson Biolife"
"ANTIBIOTIC SEED AGAR A1","4010752","97,16","","Sinanson Biolife"
"APT AGAR","4010852","116,03","","Sinanson Biolife"
"APT BROTH","4010902","110,93","","Sinanson Biolife"
"ASPARAGINE ENRICHMENT BROTH","40109512","654,59","","Sinanson Biolife"
"AZIDE BLOOD AGAR BASE","4011002","89,51","","Sinanson Biolife"
"AZIDE DEXTROSE BROTH","4011052","54,83","","Sinanson Biolife"
"AZIDE DEXTROSE BROTH -ROTHE","4011062","60,69","","Sinanson Biolife"
"AZIDE MALTOSE AGAR KF","4011072","94,35","","Sinanson Biolife"
"TTC 1% SOLUTION","42111801","25,25","","Sinanson Biolife"
"AZIDE VIOLET BLOOD AGAR BASE","4011102","94,35","","Sinanson Biolife"
"BACILLUS CEREUS AGAR BASE - MYP","4011112","59,93","","Sinanson Biolife"
"Bacillus Cereus Antimicrobic Supplement","4240001","58,91","","Sinanson Biolife"
"Egg Yolk Emulsion 20%","42111205","22,95","","Sinanson Biolife"
"Egg Yolk Emulsion 50%","42111605","24,23","","Sinanson Biolife"
"BACILLUS CEREUS AGAR BASE - PEMBA","4011122","76,50","","Sinanson Biolife"
"BAIRD PARKER AGAR BASE","4011162","91,29","","Sinanson Biolife"
"BAIRD PARKER AGAR BASE","4011164","882,05","","Sinanson Biolife"
"Egg Yolk Tellurite Emulsion 20%","423700","15,30","","Sinanson Biolife"
"RPF Supplement II","423102","72,68","","Sinanson Biolife"
"RPF Supplement II","423102D","107,10","","Sinanson Biolife"
"BAIRD PARKER AGAR BASE pH 6,8","401116P2","91,29","","Sinanson Biolife"
"BCSA BURKHOLDERIA CEPACIA SELECTIVE AGAR BASE","4011532","72,68","","Sinanson Biolife"
"BCSA Selective supplement","4240073","76,50","","Sinanson Biolife"
"BILE AESCULIN AGAR","4010172","326,40","","Sinanson Biolife"
"BILE AESCULIN AZIDE AGAR","4010142","173,40","","Sinanson Biolife"
"BILE AESCULIN AZIDE AGAR ISO FORMULATION","4010182","170,85","","Sinanson Biolife"
"BILE AESCULIN AZIDE BROTH","40101412","186,15","","Sinanson Biolife"
"BISMUTH SULPHITE AGAR","40121022","107,10","","Sinanson Biolife"
"BLOOD AGAR BASE","4011552","74,97","","Sinanson Biolife"
"BLOOD AGAR BASE","4011554","728,03","","Sinanson Biolife"
"BLOOD AGAR BASE N° 2","4011562","71,40","","Sinanson Biolife"
"BLOOD AGAR BASE N° 2","4011564","683,40","","Sinanson Biolife"
"BLOOD AGAR BASE N° 2 ISO FORMULATION","401156P2","73,95","","Sinanson Biolife"
"BRAIN HEART INFUSION AGAR","4012352","79,05","","Sinanson Biolife"
"BRAIN HEART INFUSION AGAR","4012354","739,50","","Sinanson Biolife"
"BRAIN HEART INFUSION BROTH","4012302","66,30","","Sinanson Biolife"
"BRAIN HEART INFUSION BROTH","4012304","637,50","","Sinanson Biolife"
"BRILLIANT GREEN AGAR","4012552","55,08","","Sinanson Biolife"
"BRILLIANT GREEN AGAR MODIFIED","4012562","61,97","","Sinanson Biolife"
"BRILLIANT GREEN BILE BROTH 2%","4012652","170,85","","Sinanson Biolife"
"BRILLIANT GREEN BILE BROTH 2%","4012654","1.683,00","","Sinanson Biolife"
"BRILLIANT GREEN BILE BROTH 2% MUG","4012662","204,00","","Sinanson Biolife"
"BROMOCRESOL PURPLE GLUCOSE AGAR (DEXTROSE TRYPTONE AG","4012732","86,70","","Sinanson Biolife"
"BRUCELLA BROTH","4012742","82,88","","Sinanson Biolife"
"BRUCELLA MEDIUM BASE","4012752","69,62","","Sinanson Biolife"
"BRYANT BURKEY BROTH BASE W/RESAZURIN","4012692","78,03","","Sinanson Biolife"
"BUFFERED PEPTONE WATER","4012782","45,65","","Sinanson Biolife"
"BUFFERED PEPTONE WATER","4012784","394,23","","Sinanson Biolife"
"BUFFERED PEPTONE WATER (MEAT)","401278B2","45,65","","Sinanson Biolife"
"BUFFERED PEPTONE WATER (MEAT)","401278B4","394,23","","Sinanson Biolife"
"BUFFERED PEPTONE WATER (CASEIN)","401278C2","45,65","","Sinanson Biolife"
"BUFFERED PEPTONE WATER (CASEIN)","401278C4","413,87","","Sinanson Biolife"
"BUFFERED PEPTONE WATER pH 7.2","401278S2","49,73","","Sinanson Biolife"
"CAMPYLOBACTER BLOOD AGAR BASE","4012852","91,80","","Sinanson Biolife"
"CAMPYLOBACTER BLOOD FREE MEDIUM BASE BOLTON (mCCDA)","4012822","112,20","","Sinanson Biolife"
"Bolton CCDA Antimicrobic Supplement","4240020","116,03","","Sinanson Biolife"
"CAMPYLOBACTER BLOOD FREE MEDIUM BASE KARMALI","4012832","147,90","","Sinanson Biolife"
"Karmali Antimicrobic Supplement","4240035","103,28","","Sinanson Biolife"
"CAMPYLOBACTER BOLTON ENRICHMENT BROTH BASE","401286B2","116,28","","Sinanson Biolife"
"Bolton Broth Selective Supplement","4240025","128,78","","Sinanson Biolife"
"CAMPYLOBACTER ENRICHMENT BROTH BASE","4012862","77,01","","Sinanson Biolife"
"Preston Antimicrobic Supplement (ISTISAN 96/35)","4240017","79,05","","Sinanson Biolife"
"Lysed Horse Blood","90HLX100","41,57","","Sinanson Biolife"
"CANDIDA AGAR (NICKERSON)","4012802","94,35","","Sinanson Biolife"
"CARY-BLAIR TRANSPORT MEDIUM","4012872","118,58","","Sinanson Biolife"
"C-EC AGAR","4012982","317,48","","Sinanson Biolife"
"CHAPMAN-STONE MEDIUM","4013002","50,49","","Sinanson Biolife"
"CHLORAMPHENICOL GLUCOSE YEAST EXTRACT AGAR","4012892","53,30","","Sinanson Biolife"
"CHROMALBICANS AGAR","4080002","351,14","","Sinanson Biolife"
"CHROMART CRE-ESBL AGAR BASE","4080252","369,75","","Sinanson Biolife"
"CHROMART CRE Supplement","4240082","334,82","","Sinanson Biolife"
"CHROMART ESBL Supplement","4240080","334,82","","Sinanson Biolife"
"CHROMOGENIC BACILLUS CEREUS AGAR BASE","4080202","156,32","","Sinanson Biolife"
"Bacillus Cereus Chromogenic Selective Supplement","4240090","40,80","","Sinanson Biolife"
"CHROMOGENIC CANDIDA AGAR","4080052","465,89","","Sinanson Biolife"
"CHROMOGENIC COLIFORM AGAR ISO FORMULATION","4012972","494,70","","Sinanson Biolife"
"CHROMOGENIC CRONOBACTER ISOLATION (CCI) AGAR","4080302","383,78","","Sinanson Biolife"
"CHROMOGENIC E.COLI O157 AGAR","4055812","675,75","","Sinanson Biolife"
"CHROMOGENIC LACTOBACILLUS ACIDOPHILUS AGAR (CLAA)","4015682","68,85","","Sinanson Biolife"
"CHROMOGENIC LACTOBACILLUS ACIDOPHILUS AGAR (CLAA)","4015684","362,10","","Sinanson Biolife"
"CHROMOGENIC SALMONELLA AGAR BASE","4053502","441,15","","Sinanson Biolife"
"Salmonella Selective Supplement","4240013","54,83","","Sinanson Biolife"
"CHROMOGENIC STREPTO B AGAR BASE","4080102","448,80","","Sinanson Biolife"
"Chromogenic Strepto B Supplement","4240053","302,43","","Sinanson Biolife"
"CHROMOGENIC URINE AGAR IV","409810G2","390,15","","Sinanson Biolife"
"CHROMOGENIC URINE AGAR IV CLEAR","409810C2","390,15","","Sinanson Biolife"
"CHROMOGENIC YERSINIA AGAR BASE","4080502","433,50","","Sinanson Biolife"
"Chromogenic Yersinia Supplement","4240095","68,85","","Sinanson Biolife"
"Vancomycin CSB Supplement","4240057C","54,57","","Sinanson Biolife"
"CIN AGAR BASE","4013022","70,13","","Sinanson Biolife"
"Yersinia Selective Supplement","4240011","67,07","","Sinanson Biolife"
"CLED AGAR","40129012","71,40","","Sinanson Biolife"
"CLED AGAR","40129014","688,50","","Sinanson Biolife"
"CLED MEDIUM ANDRADE","40129022","96,39","","Sinanson Biolife"
"CLOSTRIDIUM AGAR","4013032","66,30","","Sinanson Biolife"
"CLOSTRIDIUM BROTH","4013042","58,65","","Sinanson Biolife"
"CLOSTRIDIUM BOTULINUM AGAR BASE","4013062","94,35","","Sinanson Biolife"
"Clostridium Botulinum Antimicrobic Supplement","4240066","73,44","","Sinanson Biolife"
"CLOSTRIDIUM PERFRINGENS AGAR BASE","4013072","80,33","","Sinanson Biolife"
"Kanamycin Polymyxin B Antimicrobic Supplement","4240005","59,42","","Sinanson Biolife"
"D-Cycloserine Antimicrobic Supplement","4240002","114,75","","Sinanson Biolife"
"Egg Yolk Emulsion 50%","42111605","24,23","","Sinanson Biolife"
"COLUMBIA AGAR EP","4011342","91,80","","Sinanson Biolife"
"COLUMBIA AGAR BASE","4011362","72,68","","Sinanson Biolife"
"COLUMBIA AGAR BASE","4011364","675,75","","Sinanson Biolife"
"COLUMBIA CNA AGAR BASE","40113612","94,86","","Sinanson Biolife"
"m-CP AGAR BASE","4013202","105,57","","Sinanson Biolife"
"m-CP Antimicrobic Supplement","4240070","95,63","","Sinanson Biolife"
"m-CP Supplement A-Phenophthalein diphosphate","4240070A","68,85","","Sinanson Biolife"
"m-CP Supplement B - Ferric chloride hexahydrate","4240070B","22,44","","Sinanson Biolife"
"m-CP Supplement C - Indoxyl -D-glucoside","4240070C","79,56","","Sinanson Biolife"
"CPLM TRICHOMONAS BROTH","4013312","113,22","","Sinanson Biolife"
"CRONOBACTER SCREENING BROTH BASE","4013552","56,61","","Sinanson Biolife"
"CZAPEK DOX AGAR","4013602","77,27","","Sinanson Biolife"
"DECARBOXYLASE MOELLER BASE BROTH","4013662","109,65","","Sinanson Biolife"
"DERMATOPHYTE SELECTIVE MEDIUM - DTM (TAPLIN)","40136912","408,51","","Sinanson Biolife"
"Dermatophyte Antimicrobic Supplement","4240024","70,64","","Sinanson Biolife"
"DESOXYCHOLATE AGAR","4013702","89,25","","Sinanson Biolife"
"DESOXYCHOLATE CITRATE AGAR","4013752","99,45","","Sinanson Biolife"
"DESOXYCHOLATE LACTOSE AGAR","4013802","84,15","","Sinanson Biolife"
"DEOXYRIBONUCLEASE TEST MEDIUM (Dnase)","4013682","144,59","","Sinanson Biolife"
"DEXTROSE AGAR","4013852","73,95","","Sinanson Biolife"
"DEXTROSE BROTH","4013862","56,10","","Sinanson Biolife"
"DEXTROSE MEAT LIVER BROTH","4013912","89,25","","Sinanson Biolife"
"DG18 AGAR BASE","4013942","88,49","","Sinanson Biolife"
"Chloramphenicol Antimicrobic Supplement","4240003","59,42","","Sinanson Biolife"
"Glycerol","421015","20,15","","Sinanson Biolife"
"DG18 CHLORAMPHENICOL AGAR","401394C2","84,41","","Sinanson Biolife"
"DIFFERENTIAL CLOSTRIDIAL AGAR","4013122","90,27","","Sinanson Biolife"
"DOUBLE MODIFIED LYSINE IRON AGAR (DMLIA)","4013252","81,60","","Sinanson Biolife"
"DMLIA Novobiocin Supplement","4240029","65,54","","Sinanson Biolife"
"DRBC AGAR BASE","4013932","88,49","","Sinanson Biolife"
"DRBC CHLORAMPHENICOL AGAR","401393C2","87,98","","Sinanson Biolife"
"DRIGALSKY LACTOSE AGAR","4013302","75,23","","Sinanson Biolife"
"EC BROTH","4014252","71,40","","Sinanson Biolife"
"EC BROTH MUG","4014262","114,75","","Sinanson Biolife"
"E.C.O.A.GAR (ENTEROCOCCUS CHROMOGENIC OTTAVIANI & AGOSTI","4014302","421,52","","Sinanson Biolife"
"Kanamycin Selective Supplement","4240055","60,44","","Sinanson Biolife"
"EC X-GLUC AGAR (CHROMOGENIC E.COLI)","4019682","221,09","","Sinanson Biolife"
"EDWARD'S AESCULIN MEDIUM","4014312","153,26","","Sinanson Biolife"
"EE BROTH MOSSEL","4014662","234,60","","Sinanson Biolife"
"ENDO AGAR","4014602","95,63","","Sinanson Biolife"
"m - ENDO BROTH","4014612","114,75","","Sinanson Biolife"
"ENTEROBACTERIA ENRICHMENT BROTH MOSSEL EP","4014672","510,00","","Sinanson Biolife"
"ENTEROBACTER SAKAZAKII ISOLATION AGAR (ESIA)","4014782","293,25","","Sinanson Biolife"
"EO.ME.BLUE AGAR W/LACTOSE AND SUCROSE","40145012","76,76","","Sinanson Biolife"
"ETHYL VIOLET AZIDE BROTH (EVA BROTH) -LITSKY","4014852","57,38","","Sinanson Biolife"
"EUGON BROTH","4016432","83,13","","Sinanson Biolife"
"EUGON BROTH","4016434","798,15","","Sinanson Biolife"
"Eugon LT Supplement","421540","38,25","","Sinanson Biolife"
"m-FAECAL COLIFORM AGAR","4014872","104,55","","Sinanson Biolife"
"Rosolic Acid","4211901","155,55","","Sinanson Biolife"
"m-FAECAL COLIFORM BROTH","4014862","109,65","","Sinanson Biolife"
"FERMENTATION BROTH BASE","4014882","73,95","","Sinanson Biolife"
"FRASER BROTH BASE","4014952","78,80","","Sinanson Biolife"
"FRASER BROTH BASE","4014954","756,33","","Sinanson Biolife"
"Fraser Selective Supplement","4240043","58,91","","Sinanson Biolife"
"Fraser Half Selective Supplement","4240044","57,63","","Sinanson Biolife"
"GASSNER MEDIUM","4015012","133,37","","Sinanson Biolife"
"GC MEDIUM BASE","4015202","70,13","","Sinanson Biolife"
"GC MEDIUM BASE","4015204","675,75","","Sinanson Biolife"
"GELATIN PEPTONE BIOS AGAR","4015102","191,00","","Sinanson Biolife"
"GIOLITTI-CANTONI BROTH","4015162","80,33","","Sinanson Biolife"
"Potassium Tellurite 1% Solution","42211501","25,50","","Sinanson Biolife"
"GLUCOSE OF MEDIUM","4015252","54,83","","Sinanson Biolife"
"GN BROTH HAJNA","4015242","73,95","","Sinanson Biolife"
"HEART INFUSION AGAR","4015352","90,53","","Sinanson Biolife"
"HEART INFUSION BROTH","4015402","68,85","","Sinanson Biolife"
"HEART INFUSION BROTH","4015404","785,40","","Sinanson Biolife"
"HEKTOEN ENTERIC AGAR","4015412","121,13","","Sinanson Biolife"
"HEKTOEN ENTERIC AGAR","4015414","1.185,75","","Sinanson Biolife"
"HHD BROTH","4015292","122,40","","Sinanson Biolife"
"IRON SULFITE AGAR","4015652","76,50","","Sinanson Biolife"
"KANAMYCIN AESCULIN AZIDE AGAR BASE","4015522","109,65","","Sinanson Biolife"
"Kanamycin Selective Supplement","4240055","60,44","","Sinanson Biolife"
"KLIGLER IRON AGAR","4015602","68,85","","Sinanson Biolife"
"LACTOSE BROTH","4015752","48,45","","Sinanson Biolife"
"LACTOSE GELATIN MEDIUM","4015762","60,69","","Sinanson Biolife"
"LACTOSE SULFITE MEDIUM","4015792","60,18","","Sinanson Biolife"
"LAURYL PEPTO BIOS BROTH","4015802","60,18","","Sinanson Biolife"
"LAURYL SULFATE BROTH MUG IDF FORMULATION","401580F2","115,77","","Sinanson Biolife"
"LEGIONELLA BCYE AGAR BASE","4015822","73,44","","Sinanson Biolife"
"Legionella BCYE a-Growth Supplement","423210","153,00","","Sinanson Biolife"
"Legionella BCYE -GROWTH SUPPLEMENT w/o CYSTEINE","423212","116,03","","Sinanson Biolife"
"Legionella GVPC Selective Supplement","423215","38,25","","Sinanson Biolife"
"Legionella AB Selective Supplement","423225","76,50","","Sinanson Biolife"
"Legionella MWY Selective Supplement ISO","423220","173,40","","Sinanson Biolife"
"m-LES ENDO AGAR","4015932","109,14","","Sinanson Biolife"
"LETHEEN BROTH AOAC","4015912","80,33","","Sinanson Biolife"
"LEVINE EMB BLUE AGAR","4015952","70,13","","Sinanson Biolife"
"LINDEN GRAIN BROTH","4015874","229,50","","Sinanson Biolife"
"LISTERIA BUFFERED ENRICHMENT BROTH","401601B2","74,21","","Sinanson Biolife"
"LISTERIA ENRICHMENT BROTH","4016012","78,03","","Sinanson Biolife"
"LISTERIA ENRICHMENT BROTH","4016014","701,25","","Sinanson Biolife"
"LISTERIA ENRICHMENT BROTH UVM 1","4015982","79,05","","Sinanson Biolife"
"LISTERIA ENRICHMENT BROTH UVM 1","4015984","765,00","","Sinanson Biolife"
"LISTERIA ENRICHMENT BROTH UVM 2","4015992","81,60","","Sinanson Biolife"
"LISTERIA FRASER BROTH BASE","4015962","81,86","","Sinanson Biolife"
"LISTERIA FRASER BROTH BASE","4015964","749,70","","Sinanson Biolife"
"Listeria Fraser Supplement (Fe Ammonium Citrate)","4240056","57,12","","Sinanson Biolife"
"Listeria Fraser Supplement (Fe Ammonium Citrate)","42185056","30,60","","Sinanson Biolife"
"Listeria Fraser Supplement (Fe Ammonium Citrate)","42185056A","204,00","","Sinanson Biolife"
"LISTERIA FRASER BROTH BASE HALF CONCENTRATION","4015942","80,33","","Sinanson Biolife"
"LISTERIA FRASER BROTH BASE HALF CONCENTRATION","4015944","769,85","","Sinanson Biolife"
"LISTERIA OXFORD AGAR BASE","4016002","150,71","","Sinanson Biolife"
"Listeria Oxford Antimicrobic Supplement","4240038","118,58","","Sinanson Biolife"
"Listeria MOX-COL Antimicrobic Supplement","4240039","132,60","","Sinanson Biolife"
"LISTERIA PALCAM AGAR BASE","4016042","130,82","","Sinanson Biolife"
"Listeria PALCAM Antimicrobic Supplement","4240042","62,99","","Sinanson Biolife"
"LITMUS MILK","4016112","64,77","","Sinanson Biolife"
"LOWENSTEIN JENSEN MEDIUM BASE","4016352","113,22","","Sinanson Biolife"
"LPT DILUTION BROTH","4016392","61,20","","Sinanson Biolife"
"LPT DILUTION BROTH","4016394","459,00","","Sinanson Biolife"
"LYSINE IRON AGAR","4016362","84,92","","Sinanson Biolife"
"M-GREEN AGAR","4015272","61,20","","Sinanson Biolife"
"M 17 AGAR","4017192","132,60","","Sinanson Biolife"
"M 17 BROTH","4017202","145,35","","Sinanson Biolife"
"MAC CONKEY AGAR","4016702","80,33","","Sinanson Biolife"
"MAC CONKEY AGAR","4016704","739,50","","Sinanson Biolife"
"MAC CONKEY AGAR MUG","4016722","109,91","","Sinanson Biolife"
"MAC CONKEY AGAR OMS W/O CRYSTAL VIOLET","4016712","109,65","","Sinanson Biolife"
